SQA,Mon, 2 Dec 2019 12:45:51 GMT
Method,NBD,v(G)
"hackme.Controller.Controller()",0,1
"hackme.Controller.createEasyList()",0,1
"hackme.Controller.createHardList()",0,1
"hackme.Controller.createModerateList()",0,1
"hackme.Controller.initialiseEndScene()",0,1
"hackme.Controller.initialiseGameScene()",0,1
"hackme.Controller.initialiseStartScene()",0,1
"hackme.Controller.wordOnClick(ActionEvent)",0,1
"hackme.Main.main(String[])",0,1
"hackme.Main.start(Stage)",0,1
"hackme.gamelogic.GameEngine.correctCharacters(String,String)",2,6
"hackme.gamelogic.GameEngine.createDisplayableWords(List<String>,EventHandler<ActionEvent>)",1,2
"hackme.gamelogic.GameEngine.getPassword(List<String>)",1,2
"hackme.gamelogic.GameEngine.getWordFileScanner(Difficulty)",1,6
"hackme.gamelogic.GameEngine.getWordList(Difficulty)",1,3
"hackme.gamelogic.GameEngine.matchPassword(String,String)",0,1
"hackme.gamelogic.GameEngine.setupGame(Difficulty)",0,1
"hackme.gamelogic.GameEngineTest.setUp()",1,4
"hackme.gamelogic.GameEngineTest.tearDown()",0,1
"hackme.gamelogic.GameEngineTest.testCorrectChars()",0,1
"hackme.gamelogic.GameEngineTest.testGetPassword()",0,1
"hackme.gamelogic.GameEngineTest.testMatchPassword()",0,1
"hackme.gamelogic.GameEngineTest.testNumberOfWords()",1,5
"hackme.gamelogic.GameEngineTest.testSizeOfWords()",2,3

Class,COM_RAT,DIT,LCOM,LOC
"hackme.Controller",38.71%,1,3,62
"hackme.Main",0.00%,2,2,12
"hackme.gamelogic.GameEngine",35.54%,1,4,121
"hackme.gamelogic.GameEngine.Difficulty",0.00%,n/a,0,3
"hackme.gamelogic.GameEngineTest",2.47%,1,1,81

Package,Ca,Ce,I
"hackme",0,1,1.00
"hackme.gamelogic",4,2,0.50

