SQA,Tue, 3 Dec 2019 13:34:38 GMT
Method,NBD,v(G)
"hackme.EndController.EndController()",0,1
"hackme.EndController.closeOnClick()",0,1
"hackme.EndController.onKeyPressed(KeyEvent)",1,3
"hackme.EndController.restartOnClick()",0,1
"hackme.EndController.setFinalScore(int)",0,1
"hackme.EndController.setStage(Stage)",0,1
"hackme.EndControllerTest.setUp()",0,1
"hackme.EndControllerTest.tearDown()",0,1
"hackme.EndControllerTest.testCloseOnClick()",0,1
"hackme.EndControllerTest.testOnKeyPressed()",0,1
"hackme.EndControllerTest.testRestartOnClick()",0,1
"hackme.EndControllerTest.testSetFinalScore()",0,1
"hackme.EndControllerTest.testSetStage()",0,1
"hackme.GameController.GameController()",0,1
"hackme.GameController.initialiseGameWordVariables(Difficulty)",0,1
"hackme.GameController.setStage(Stage)",0,1
"hackme.GameController.startEndGameScene()",1,2
"hackme.GameController.wordOnClick(MouseEvent)",2,3
"hackme.GameControllerTest.setUp()",0,1
"hackme.GameControllerTest.tearDown()",0,1
"hackme.GameControllerTest.testInitialiseGameWordVariables()",0,1
"hackme.GameControllerTest.testSetStage()",0,1
"hackme.GameControllerTest.testStartEndGameScene()",0,1
"hackme.GameControllerTest.testWordOnClick()",0,1
"hackme.Main.main(String[])",0,1
"hackme.Main.start(Stage)",0,1
"hackme.MainTest.setUp()",0,1
"hackme.MainTest.tearDown()",0,1
"hackme.MainTest.testMain()",0,1
"hackme.MainTest.testStart()",0,1
"hackme.StartController.StartController()",0,1
"hackme.StartController.getScoreboard()",1,3
"hackme.StartController.setDifficulty(ActionEvent)",1,3
"hackme.StartController.setStage(Stage)",0,1
"hackme.StartController.startGameScene()",1,2
"hackme.StartControllerTest.setUp()",0,1
"hackme.StartControllerTest.tearDown()",0,1
"hackme.StartControllerTest.testSetDifficulty()",0,1
"hackme.StartControllerTest.testSetStage()",0,1
"hackme.StartControllerTest.testStartGameScene()",0,1

Class,COM_RAT,DIT,LCOM,LOC
"hackme.EndController",30.95%,1,5,42
"hackme.EndControllerTest",0.00%,1,7,23
"hackme.GameController",26.67%,1,1,75
"hackme.GameControllerTest",0.00%,1,6,20
"hackme.Main",0.00%,2,2,15
"hackme.MainTest",0.00%,1,4,14
"hackme.StartController",25.33%,1,2,75
"hackme.StartControllerTest",0.00%,1,5,17

Package,Ca,Ce,I
"hackme",3,3,0.50

