Metrics,Mon, 9 Dec 2019 22:10:21 GMT
Method,NBD,v(G)
"hackme.Main.endScreenReturn(String)",0,3
"hackme.Main.gameScreenReturn(String)",0,1
"hackme.Main.main(String[])",0,1
"hackme.Main.start(Stage)",2,1
"hackme.Main.startScreenReturn(String)",3,6
"hackme.MainTest.setUp()",0,1
"hackme.MainTest.tearDown()",0,1
"hackme.MainTest.testMain()",0,1
"hackme.MainTest.testStart()",0,1
"hackme.gamelogic.GameEngine.correctCharacters(String,String)",2,6
"hackme.gamelogic.GameEngine.createDisplayableWords(List<String>,EventHandler<ActionEvent>)",1,2
"hackme.gamelogic.GameEngine.getPassword(List<String>)",1,2
"hackme.gamelogic.GameEngine.getWordFileScanner(Difficulty)",1,6
"hackme.gamelogic.GameEngine.getWordList(Difficulty)",1,3
"hackme.gamelogic.GameEngine.matchPassword(String,String)",0,1
"hackme.gamelogic.GameEngine.setupGame(Difficulty)",0,1
"hackme.gamelogic.GameEngineTest.setUp()",1,4
"hackme.gamelogic.GameEngineTest.tearDown()",0,1
"hackme.gamelogic.GameEngineTest.testCorrectChars()",0,1
"hackme.gamelogic.GameEngineTest.testGetPassword()",0,1
"hackme.gamelogic.GameEngineTest.testMatchPassword()",0,1
"hackme.gamelogic.GameEngineTest.testNumberOfWords()",1,5
"hackme.gamelogic.GameEngineTest.testSizeOfWords()",2,3
"hackme.screens.EndScreenController.getScoreboard(String)",1,3
"hackme.screens.EndScreenController.insertIntoScoreboard(String,int,ArrayList<String[]>)",2,5
"hackme.screens.EndScreenController.saveScoreboard(ArrayList<String[]>,String)",1,3
"hackme.screens.EndScreenControllerTest.setUp()",0,1
"hackme.screens.EndScreenControllerTest.tearDown()",0,1
"hackme.screens.EndScreenControllerTest.testGetScoreboard()",0,1
"hackme.screens.EndScreenControllerTest.testInsertIntoScoreboard()",0,1
"hackme.screens.EndScreenControllerTest.testSaveScoreboard()",0,1
"hackme.screens.GameScreenController.initialiseGame(Difficulty)",0,1
"hackme.screens.GameScreenController.initialize(URL,ResourceBundle)",2,1
"hackme.screens.GameScreenController.wordOnClick(String)",2,3
"hackme.screens.GameScreenControllerTest.setUp()",0,1
"hackme.screens.GameScreenControllerTest.tearDown()",0,1
"hackme.screens.GameScreenControllerTest.testInitialiseGameWordVariables()",0,1
"hackme.screens.GameScreenControllerTest.testInitialize()",0,1
"hackme.screens.GameScreenControllerTest.testWordOnClick()",0,1
"hackme.screens.StartScreenController.easyLevelButtonClicked(ActionEvent)",0,1
"hackme.screens.StartScreenController.exitButtonClicked(ActionEvent)",0,1
"hackme.screens.StartScreenController.hardLevelButtonClicked(ActionEvent)",0,1
"hackme.screens.StartScreenController.initialize(URL,ResourceBundle)",0,1
"hackme.screens.StartScreenController.mediumLevelButtonClicked(ActionEvent)",0,1
"hackme.screens.StartScreenControllerTest.setUp()",0,1
"hackme.screens.StartScreenControllerTest.tearDown()",0,1
"hackme.screens.StartScreenControllerTest.testExitButtonClicked()",0,1
"hackme.screens.StartScreenControllerTest.testInitialize()",0,1
"hackme.screens.StartScreenControllerTest.testStartButtonClicked()",0,1

Class,COM_RAT,DIT,LCOM,LOC
"hackme.Main",44.09%,2,2,93
"hackme.MainTest",0.00%,1,4,16
"hackme.gamelogic.GameEngine",35.54%,1,4,121
"hackme.gamelogic.GameEngine.Difficulty",0.00%,n/a,0,3
"hackme.gamelogic.GameEngineTest",2.47%,1,1,81
"hackme.screens.EndScreenController",19.72%,1,3,71
"hackme.screens.EndScreenControllerTest",0.00%,1,5,20
"hackme.screens.GameScreenController",19.40%,1,1,67
"hackme.screens.GameScreenControllerTest",0.00%,1,5,20
"hackme.screens.StartScreenController",58.14%,1,2,43
"hackme.screens.StartScreenControllerTest",0.00%,1,5,20

Interface,LOC
"hackme.screens.ScreenReturner",3

Package,Ca,Ce,I
"hackme",0,2,1.00
"hackme.gamelogic",6,2,0.40
"hackme.screens",3,3,0.50

